country,year,population
SLE,2023,8460512.0
SOM,2023,18358615.0
SSD,2023,11483374.0
SWE,2023,10536632.0
SWZ,2023,1230506.0
SYR,2023,23594623.0
TCD,2023,19319064.0
TGO,2023,9304337.0
TUN,2023,12200431.0
TUR,2023,85325965.0
TZA,2023,66617606.0
UGA,2023,48656601.0
YEM,2023,39390799.0
ZAF,2023,63212384.0
ZMB,2023,20723965.0
ZWE,2023,16340822.0
AGO,2024,37885849.0
ALB,2024,2714617.0
ARE,2024,10876981.0
ARM,2024,3033500.0
AUT,2024,9178482.0
BDI,2024,14047786.0
BEL,2024,11876844.0
BEN,2024,14462724.0
BFA,2024,23548781.0
BGR,2024,6444366.0
BHR,2024,1588670.0
BWA,2024,2521139.0
CAF,2024,5330690.0
CHE,2024,9034102.0
CIV,2024,31934230.0
CMR,2024,29123744.0
COD,2024,109276265.0
COG,2024,6332961.0
COM,2024,866628.0
CZE,2024,10882164.0
DEU,2024,83510950.0
DJI,2024,1168722.0
DNK,2024,5976992.0
DZA,2024,46814308.0
EGY,2024,116538258.0
ERI,2024,3535603.0
ESP,2024,48807137.0
EST,2024,1371986.0
ETH,2024,132059767.0
FIN,2024,5637214.0
FRA,2024,68516699.0
GAB,2024,2538952.0
GBR,2024,69226000.0
GHA,2024,34427414.0
GIN,2024,14754785.0
GMB,2024,2759988.0
GNB,2024,2201352.0
GNQ,2024,1892516.0
GRC,2024,10388805.0
HRV,2024,3866300.0
HUN,2024,9562314.0
IRL,2024,5380257.0
IRN,2024,91567738.0
IRQ,2024,46042015.0
ITA,2024,58986023.0
JOR,2024,11552876.0
KEN,2024,56432944.0
KWT,2024,4973861.0
LBN,2024,5805962.0
LBR,2024,5612817.0
LBY,2024,7381023.0
LSO,2024,2337423.0
LTU,2024,2888055.0
LVA,2024,1862441.0
MAR,2024,38081173.0
MDG,2024,31964956.0
MLI,2024,24478595.0
MOZ,2024,34631766.0
MRT,2024,5169395.0
MUS,2024,1259509.0
MWI,2024,21655286.0
NAM,2024,3030131.0
NER,2024,27032412.0
NGA,2024,232679478.0
NLD,2024,17994237.0
NOR,2024,5572272.0
OMN,2024,5281538.0
POL,2024,36554707.0
PRT,2024,10701636.0
QAT,2024,2857822.0
ROU,2024,19069340.0
RWA,2024,14256567.0
SAU,2024,35300280.0
SDN,2024,50448963.0
SEN,2024,18501984.0
SLE,2024,8642022.0
SOM,2024,19009151.0
SSD,2024,11943408.0
SWE,2024,10569709.0
SWZ,2024,1242822.0
SYR,2024,24672760.0
TCD,2024,20299123.0
TGO,2024,9515236.0
TUN,2024,12277109.0
TUR,2024,85518661.0
TZA,2024,68560157.0
UGA,2024,50015092.0
YEM,2024,40583164.0
ZAF,2024,64007187.0
ZMB,2024,21314956.0
ZWE,2024,16634373.0
